[Normal Axes]|en|ru
normal_melee_hand_axe|Hand Axe|
normal_melee_hatchet|Hatchet|
normal_melee_naga|Naga|
normal_melee_broad_axe|Broad Axe|
normal_melee_war_axe|War Axe|
normal_melee_giant_axe|Giant Axe|
||
[Normal Maces]||
normal_mace_cudgel|Cudgel|
normal_mace_mace|Mace|
normal_mace_morning_star|Morning Star|
normal_mace_spiked_club|Spiked Club|
normal_mace_war_hammer|War Hammer|
normal_mace_maul|Maul|
normal_mace_ogre_maul|Ogre Maul|
normal_mace_martel_de_fer|Martel De Fer|
normal_mace_flail|Flail|
normal_mace_devil_star|Devil Star|
||
[Normal Daggers]||
normal_dagger_dagger|Dagger|
normal_dagger_dirge|Dirge|
normal_dagger_kris|Kris|
||
[Normal Swords]||
normal_sword_short_sword|Short Sword|
normal_sword_sabre|Sabre|
normal_sword_claymore|Claymore|
normal_sword_broad_sword|Broad Sword|
normal_sword_scimitar|Scimitar|
normal_sword_giant_sword|Giant Sword|
normal_sword_katana|Katana|
normal_sword_war_sword|War Sword|
normal_sword_falchion|Falchion|
normal_sword_flamberge|Flamberge|
normal_sword_zangetsu|Zangetsu|
||
[weapon_melee_unique]||
w_melee_godfather|Godfather|
w_melee_jade_warriors_gladius|Jade Warrior's Gladius|
w_melee_storm_katana|Storm Katana|
w_melee_molten_sword|Molten Sword|
w_melee_hellslayer|Inferno Slayer|
w_melee_dragon_knights_flail|Dragon Knight's Flail|
w_melee_rift_commanders_axe|Rift Commander's Axe|
w_melee_the_undying|The Undying|
w_melee_shattered_dimensions|Shattered Dimensions|
w_melee_ashbringer|Ashbringer|
w_melee_deaths_mirror|Death's Mirror|
w_melee_odins_battle_axe|Odin's Battle Axe|
w_melee_gurags_stone_crusher|Gurag's Stone Crusher|
w_melee_deaths_scythe|Death's Scythe|
w_melee_hiyokis_vorpal_katana|Hiyoki's Vorpal Katana|
w_melee_hanzos_flaming_katana|Hanzo's Flaming Katana|
w_melee_genjis_sword_of_fate|Genji's Sword of Fate|
w_melee_wind_guardians_gladius|Wind Guardian's Gladius|
w_melee_sand_crusaders_scimitar|Sand Crusader's Scimitar|
w_melee_azurewrath|Azure's Wrath|
w_melee_holy_warriors_phase_blade|Holy Warrior's Phase Blade|
w_melee_steves_mighty_sword|Steve's Mighty Sword|
w_melee_st_gabriels_retribution|St. Gabriel's Retribution|
w_melee_thors_battle_sword|Thor's Battle Sword|
w_melee_vikings_sacred_axe|Viking's Sacred Axe|
w_melee_nomads_sandslicer|Nomad's Sandslicer|
w_melee_nobunagas_battle_slicer|Nobunaga's Battle Slicer|
w_melee_molten_dagger|Molten Dagger|
w_melee_icy_shank|Icy Shank|
w_melee_darkness|Darkness|
w_melee_gladiators_wrecking_ball|Gladiator's Wrecking Ball|
w_melee_dantes_demon_blade|Dante's Demon Blade|
w_melee_shadow_carver|Shadow Carver|
w_melee_sacred_whip|Sacred Whip|
w_melee_nightmare_slasher|Nightmare Slasher|
w_melee_frozen_carver|Frozen Carver|
w_melee_unholy_gods_flail|Unholy God's Flail|
w_melee_molten_hammer|Molten Hammer|
w_melee_icy_crusher|Icy Crusher|
w_melee_light_of_dawn|The Light of Dawn|
w_melee_gladiators_skullcrusher|Gladiator's Skullcrusher|
w_melee_masamune|Masamune|
w_melee_muramasa|Muramasa|
w_melee_crystal_infused_axe|Crystal Infused Axe|
w_melee_crystal_infused_sword|Crystal Infused Sword|
w_melee_sung_lees_destroyer_flail|Sung Lee's Destroyer Flail|
w_melee_revenants_lasher|Revenant's Lasher|
w_melee_bonettis_rapier|Bonetti's Rapier|
w_melee_eternal_glaive|Eternal Glaive|
w_melee_guts_bfs|Gut's BFS|
w_melee_st_rexis_sundering_axe|St. Rexis Sundering Axe|
w_melee_sand_dagger|Sand Dagger|
w_melee_thunder_dagger|Thunder Dagger|
w_melee_riftmasters_dirge|Riftmaster's Dirge|
w_melee_st_mikas_zweihander|St. Mika's Zweihänder|
w_melee_sanguine_blade|Sanguine Blade|
w_melee_pillar_of_niflheim|Pillar of Niflheim|
w_melee_grimbones_scythe|Grimbone's Scythe|
w_melee_ceremonial_dagger|Ceremonial Dagger|
w_melee_spiritus|Spiritus|
w_melee_guts_hfs|Gut's HFS|
w_melee_sahkopuimuri|Sähköpuimuri|
w_melee_arch_angels_phase_blade|Arch Angel's Phase Blade|
w_melee_gem_kings_cleaver|Gem King's Cleaver|
w_melee_winters_bite|Winter's Bite|
w_melee_wraith_forged_cleaver|Wraith Forged Cleaver|
w_melee_aurelion_fury|Aurelion Fury|
w_melee_abominations_gut_ripper|Abomination's Gut Ripper|
w_melee_rakhuls_legion_crusher|Rakhul's Legion Crusher|
w_melee_daisy|Daisy|
w_melee_dawn_bringer|The Dawn Bringer|
w_melee_gabriels_broken_resolve|Gabriel's Broken Resolve|
w_melee_the_hope_ender|The Hope Ender|
w_melee_lucis_day|Luci's Day|
w_melee_glowstick_estoc|Glowstick Estoc|
w_melee_kings_executioner|Headsman´s Bloodthirster|
w_melee_shishkebab|Shishkebab|
w_melee_stormslayer|Stormslayer|
w_melee_blood_moon_crescent|Blood Moon Crescent|
w_melee_stofflix_cooking_cleaver|Stofflix Cooking Cleaver|
w_melee_doom_cutter|Doom Cutter|
w_melee_pit_fighters_skullcracker|Pit Fighter´s Skullcracker|
w_melee_pit_fighters_brutalizer|Pit Fighter´s Brutalizer|
w_melee_metal_vocalists_warlock|Metal Vocalist´s Warlock|
w_melee_fenrirs_bloodfang|Fenrir´s Bloodfang|
||
lore_w_melee_st_mikas_zweihander|Over the ages, Saint Mika's Zweihander became a relic passed down through the generations to those deemed worthy of its immense power. Many sought the sword for their own ambitions, but only those who held wisdom in their hearts and remained humble in the face of its might could unlock its true potential.|На протяжении веков цвайхендер святого Мики оставался реликвией, передаваемой из поколения в поколение тем, кто был достоин его безграничной мощи. Многие жаждали заполучить этот меч ради собственных амбиций, но лишь те, чьи сердца исполнены мудрости, а помыслы смиренны перед его величием, могли раскрыть его истинный потенциал.|
lore_w_melee_st_rexis_sundering_axe|This axe does not belong to a saint in the traditional sense, for he did not follow the path of divinity or devotion to a particular deity. Instead, Saint Rexi was a warrior of unparalleled skill and valor, revered by the people as a guardian and protector.|Этот топор не принадлежит святому в привычном понимании, ибо его владелец не следовал путем божественного служения или поклонения конкретному божеству. Напротив, святой Рекси был воином беспримерного мастерства и доблести, которого народ почитал как своего защитника и хранителя.|
lore_w_melee_riftmasters_dirge|The mysterious wizard at the edge of the universe enchanted this blade at the expense of a black hole.|Таинственный чародей на краю вселенной зачаровал этот клинок ценой целой черной дыры.|
lore_w_melee_sung_lees_destroyer_flail|Brutal weapon of the warlord Sung Lee to bring carnage and death to anyone on it's path.|Жестокое оружие полководца Сунг Ли, несущее резню и смерть любому, кто встанет на его пути.|
lore_w_melee_light_of_dawn|As the first light of dawn fills the vision of a hero after a night of terror, hope fills his heart as he presses on.|Когда первый свет зари предстает перед взором героя после ночи ужаса, надежда наполняет его сердце, давая силы двигаться дальше.|
lore_w_melee_st_gabriels_retribution|Beware those who follow the path of the wicked and sin, as the punishment is coming from above.|Берегитесь те, кто ступил на путь нечестия и греха, ибо возмездие придет свыше.|
lore_w_melee_bonettis_rapier|Tarethiel's finest swordsman's arsenal is believed to be buried with them during the siege of Damien.|Считается, что арсенал величайшего фехтовальщика Таретиэля был погребен вместе с ним во время осады Дэмиена.|
lore_w_melee_grimbones_scythe|A grim death awaits the victims of this scythe, as it reaps the soul from the corpse.|Мрачная смерть ждет жертв этой косы, когда она пожинает души из остывших тел.|
lore_w_melee_shadow_carver|The Scythe of death so vicious and sharp it is rumored to cut shadows in half.|Коса смерти настолько яростная и острая, что, по слухам, она способна разрубать тени пополам.|
lore_w_melee_sahkopuimuri|A thinning tool with no competition.|Инструмент для прореживания рядов врагов, не имеющий равных.|
lore_w_melee_arch_angels_phase_blade|Ascended from the heavens to be wielded by the worthy.|Снизошел с небес, чтобы служить достойному.|
lore_w_melee_gem_kings_cleaver|In a hall bedecked with jewels, the king, consumed by greed, bestows his blessings at a cost.Insert Pristine Gems to unlock ancient powers.|В зале, украшенном самоцветами, король, поглощенный жадностью, дарует свои благословения... за определенную цену. Вставьте безупречные гемы, чтобы пробудить древние силы.|
lore_w_melee_winters_bite|The only axe able to endure the lowest of sub zero conditions frostforged by an ancient god of war..|Единственный топор, способный выдержать запредельный холод; выкован во льдах древним богом войны..|
lore_w_melee_wraith_forged_cleaver|Wielded by the shadowy creatures lurking in the depths of Helheim..|Оружие призрачных существ, таящихся в глубинах Хельхейма..|
lore_w_melee_aurelion_fury|Once wielded by Koios, eternal god of the cosmos.. Approach with caution..|Когда-то этот клинок принадлежал Кою, вечному богу космоса... Приближайтесь с осторожностью...|
lore_w_melee_abominations_gut_ripper|Stitched together from 7 fallen warrior's who performed deadly sins.. An ancient monstrosity forged this blood infused weapon of death..|Сшит из плоти семи павших воинов, совершивших смертные грехи... Древнее чудовище выковало это пропитанное кровью орудие смерти..|
lore_w_melee_rakhuls_legion_crusher|Imbued by the blood of fallen gladiators within King Rakhul's colosseum..|Напитан кровью павших гладиаторов, пролитой на арене Колизея короля Рахула..|
lore_w_melee_daisy|The bond shared between Daisy and the Butcher is bloody eternal.. Beautiful like a pile of corpses on a rainy morning..|Связь между Дейзи и Мясником вечна и кровава... Прекрасна, словно гора трупов дождливым утром..|
lore_w_melee_dawn_bringer|Wielded by the fallen angel Lucifer.. A divine flail fueled by eternal hatred.|Оружие падшего ангела Люцифера... Божественный цеп, питаемый вечной ненавистью.|
lore_w_melee_gabriels_broken_resolve|An unholy tool of execution, wielded by the fallen angel Gabriel..|Нечестивое орудие казни, принадлежащее падшему ангелу Габриэлю..|
lore_w_melee_the_hope_ender|A cursed sword enhanced by rage and forged from pure hatred..|Проклятый меч, закаленный яростью и выкованный из чистой ненависти..|
lore_w_melee_lucis_day|Eeny.. Meeny.. Miny.. Moe..|Эники.. Беники.. Ели.. Вареники..|
lore_w_melee_kings_executioner|You can still hear the sound of the King’s Executioner sharpening his blade, waiting for the next poor soul to meet their fate.|Вы все еще можете слышать звук, с которым королевский палач точит свой клинок, ожидая следующую несчастную душу, готовую встретить свою судьбу.|
lore_w_melee_shishkebab|Fresh and tasty, but very hot!!|Свежий и вкусный, но очень острый!!|
lore_w_melee_stormslayer|Signed by bard..|Подписано бардом..|
lore_w_melee_blood_moon_crescent|An ancient sword used to rule the masses by summoning and siphoning the blood moons presence painting the lands and sky red..|Древний меч, использовавшийся для правления массами. Он призывает силу кровавой луны, окрашивая земли и небеса в багровый цвет..|
lore_w_melee_stofflix_cooking_cleaver|Sian-San once tried to lift this epic cooking cleaver but by not being worthy of wielding it burned his hands.. |Сиань-Сан однажды попытался поднять этот эпический кухонный тесак, но, будучи недостойным, лишь обжег свои руки.. |
lore_w_melee_pit_fighters_skullcracker|Cracking skulls since the 70´s in pits across the world!|Крошит черепа в ямах по всему миру еще с семидесятых!|
lore_w_melee_pit_fighters_brutalizer|Dominating and brutalizing any pit anywhere at any time!|Доминирует и подавляет в любой яме, в любое время и в любом месте!|
lore_w_melee_metal_vocalists_warlock|Echoing the sound of true metal..|Вторит звучанию истинного метала..|
lore_w_melee_fenrirs_bloodfang|Fang of the ancient wolf god fenrir who slaid gods and demons, but couldn´t catch a single fish from the rivers..|Клык Фенрира, древнего бога-волка, который сразил богов и демонов, но так и не смог поймать ни одной рыбешки в реках..|
||
[weapon_throwing]||
normal_throwing_throwing_axe|Throwing Axe|
normal_throwing_battle_darts|Battle Darts|
normal_throwing_throwing_disc|Throwing Disc|
normal_throwing_harpoon|Harpoon|
normal_throwing_javelin|Javelin|
normal_throwing_pilum|Pilum|
normal_throwing_simbilan|Simbilan|
normal_throwing_short_spear|Short Spear|
normal_throwing_throwing_spear|Throwing Spear|
||
[weapon_throwing_unique]||
w_throwing_mimirs_corrupted_axe|Mimir's Corrupted Axe|
w_throwing_scarred_battle_darts|Scarred Battle Darts|
w_throwing_wakaykas_tomahawk|Wakayka's Tomahawk|
w_throwing_imperial_glaive|Imperial Glaive|
w_throwing_ukkos_revenge|Ukko's Revenge|
w_throwing_wargods_wrath|Wargod's Wrath|
w_throwing_st_neris_rainbow_lance|St. Neri's Rainbow Lance|
w_throwing_serpents_tooth|Serpent's Tooth|
w_throwing_crystal_infused_javelin|Crystal Infused Javelin|
w_throwing_valkyries_thunder_javelin|Valkyrie's Thunder Javelin|
w_throwing_deep_sea_glaive|Deep Sea Glaive|
w_throwing_sawyers_javelin_of_devastation|Sowyer's Javelin of Devastation|
w_throwing_sidewinder|Sidewinder|
||
lore_w_throwing_scarred_battle_darts|Said to contain vampiric powers within to leech the life force of the victim.|Говорят, что в них заключена вампирическая сила, высасывающая жизненную энергию жертвы.|
lore_w_throwing_ukkos_revenge|As Ukko was betrayed by his own, the havoc is laid on those deserving a brutal death.|Поскольку Укко был предан своими соплеменниками, хаос обрушивается на тех, кто заслуживает лютой смерти.|
lore_w_throwing_st_neris_rainbow_lance|As a rainbow descends from the heavens, Saint Neri, the Angel Warrior, rides upon it with their lance ready for combat against evil.|Когда радуга спускается с небес, святая Нери, ангел-воитель, мчится по ней с копьем наперевес, готовая к битве со злом.|
lore_w_throwing_sidewinder|[9 / 5 / -3 / 1]|
||
[weapon_spell]||
normal_spell_gnarled_staff|Gnarled Staff|
normal_spell_cane|Cane|
normal_spell_arcane_fork|Arcane Fork|
normal_spell_spellblade|Spellblade|
normal_spell_wand|Wand|
normal_spell_magic_tome|Magic Tome|
normal_spell_yew_wand|Yew Wand|
||
[weapon_spell_unique]||
w_spell_spellshard|Spellshard|
w_spell_the_iris|The Iris|
w_spell_staff_of_nether_flame|Staff of Nether Flame|
w_spell_archangel_staff|Archangel Staff|
w_spell_the_oculus|Oculus of Ages|
w_spell_gods_benevolence|God's Benevolence|
w_spell_satans_unholy_bible|Satan's Unholy Bible|
w_spell_book_of_revelations|Book of Revelations|
w_spell_damiens_head|Damien's Head|
w_spell_clafaxier|Clafaxier|
w_spell_raise_of_dead|Raise of the Dead|
w_spell_dragons_breath|Dragon's Breath|
w_spell_apocalypto|Apocalypto|
w_spell_steves_wand_of_fortune|Steve's Wand of Fortune|
w_spell_st_houdeaniis_tiny_fire_rod|St. HouDeanii's Tiny Fire Rod|
w_spell_wormclaw|Wormclaw|
w_spell_beacon_of_shadows|Beacon of Shadows|
w_spell_crystal_infused_wand|Crystal Infused Wand|
w_spell_zealots_book_of_prophecy|Zealot's Book of Prophecy|
w_spell_uabels_wand|Uabel's Wand|
w_spell_battle_mages_wand|Battle Mage's Wand|
w_spell_spell_eater|Spell Eater|
w_spell_blood_of_abaddon|Blood of Abaddon|
w_spell_ancient_sun_beacon|Ancient Sun Beacon|
w_spell_the_eye_of_tarethiel|The Eye of Tarethiel|
w_spell_sands_of_time|Sands of Time|
w_spell_crystal_infused_wand|Crystal Cane of Ice|
w_spell_cane_of_tundra|Cane of the Tundra|
w_spell_book_of_cold_death|Book of Cold Death|
w_spell_thorn_of_helheim|Thorn of Helheim|
w_spell_flame_of_phoenix|Flame of the Phoenix|
w_spell_hypothermia|Hypothermia|
w_spell_nimosLightbringer|St. Nimo's Lightbringer|
w_spell_solar_prophets_tablet|Solar Prophet's Tablet|
w_spell_pagan_gods_blasphemy|Pagan God's Blasphemy|
w_spell_voodoo_magicians_skull|Voodoo Magician's Skull|
w_spell_wraithbone|Wraithbone|
w_spell_clafaxiers_legacy|Clafaxier's Legacy|
w_spell_mystical_wand_of_manastream|Manafunneler´s Conjurer|
w_spell_crackling_thunder|Crackling Thunder|
w_spell_necrobutchers_curse|Necrobutcher´s Curse|
w_spell_crows_whisper|Crow´s Whisper|
w_spell_damiens_corrupted_head|Damien´s Corrupted Head|
w_spell_witchs_wand|Witch´s Wand|
||
lore_w_spell_nimosLightbringer|They will kneel before the might of light, for they are the bringer of the sacred, a morning star.|Они склонятся пред мощью света, ибо явился носитель святыни, утренняя звезда.|
lore_w_spell_st_houdeaniis_tiny_fire_rod|Said to have lighten the eternal flame, a powerful magic item to aid those in need.|Говорят, этот жезл разжег вечное пламя — могущественный артефакт, призванный помочь нуждающимся.|
lore_w_spell_spell_eater|Devour the spells of your enemies and infuse the energy to your own as you battle the darkness.|Пожирайте заклятия врагов и наполняйте их энергией собственные чары, сражаясь с тьмой.|
lore_w_spell_blood_of_abaddon|Blood shed to the altar and by demonic forces arise; the staff of an Arch Demon.|Кровь, пролитая на алтарь, воззвала к демоническим силам; посох самого архидемона.|
lore_w_spell_hypothermia|As cold as the heart of the grim reaper, the blade that cuts through souls.|Холодный, словно сердце Мрачного Жнеца — клинок, пронзающий души насквозь.|
lore_w_spell_beacon_of_shadows|Harness the very essence of darkness itself, drawing power from the concealed corners of the world.|Обуздайте саму суть тьмы, черпая силу из самых потаенных уголков мира.|
lore_w_spell_pagan_gods_blasphemy|All hail the false prophet! AVE SATANAS!|Да славится лжепророк! AVE SATANAS!|
lore_w_spell_mystical_wand_of_manastream|The one who sparked the manaflame shall live on.|Тот, кто разжег пламя маны, будет жить вечно.|
lore_w_spell_crackling_thunder|Can you hear the echo of the roaring storm?|Слышите ли вы эхо ревущей бури?|
lore_w_spell_necrobutchers_curse|From ashes to ashes and dust to dust..|Прах к праху, пыль к пыли..|
lore_w_spell_crows_whisper|Who wields this staff has the crows power..|Владеющий этим посохом обретает силу ворона..|
||
[weapon_bow]||
normal_bow_crossbow|Crossbow|
normal_bow_short_war_bow|Short War Bow|
normal_bow_long_bow|Long Bow|
normal_bow_gothic_bow|Gothic Bow|
||
[weapon_bow_unique]||
w_bow_buriza|Buriza-ko-nu|
w_bow_windforce|Wind's Force|
w_bow_poison_ivy|Poison Ivy|
w_bow_glimmerfury|Glimmerfury|
w_bow_flamebringer|Flamebringer|
w_bow_steves_punchbow|Steve's Punchbow|
w_bow_st_soloyolos_holy_bow|St. Soloyolo's Holy Bow|
w_bow_marksmans_hunting_bow|Marksman's Hunting Bow|
w_bow_shadowfury|Shadowfury|
w_bow_electro|Electro|
w_bow_hellspawn_eradicator|Hellspawn Eradicator|
w_bow_deathquill|Deathquill|
w_bow_recurving_corrosion|Recurving Corrosion|
w_bow_st_amithiels_truth|St. Amitiel's Truth|
w_bow_astral_projector|Astral Projector|
w_bow_arachno_phobia|Arachno Phobia|
w_bow_monsoon|Monsoon|
w_bow_arrow_of_niflheim|Arrow of Niflheim|
w_bow_eternity|Eternity|
w_bow_arrow_of_zamjo|Arrow of Zamjo|
||
lore_w_bow_recurving_corrosion|When the toxic poison eats you from the inside, scorching your veins, there is only one way out.|Когда едкий яд пожирает тебя изнутри, обжигая вены, остается лишь один выход.|
lore_w_bow_st_soloyolos_holy_bow|Facing the horrors of the dark entity alone, Saint SoloYolo paved the way for all creation alone with his trusted bow blessed by the light.|В одиночку противостоя ужасам темной сущности, святой СолоЙоло проложил путь всему сущему своим верным луком, благословленным светом.|
lore_w_bow_deathquill|Almost as black as the soul of the necromancer who crafted this weapon, so is the death for the victims of this bow.|Смерть, уготованная жертвам этого лука, так же черна, как душа создавшего его некроманта.|
lore_w_bow_shadowfury|With each arrow loosed, the bow releases a shadow-infused projectile that pierces the fabric of reality itself, leaving a temporary rift in its wake.|С каждой пущенной стрелой этот лук выпускает теневой снаряд, пронзающий саму ткань реальности и оставляющий за собой мимолетный разлом.|
lore_w_bow_st_amithiels_truth|Truth is the ultimate killer..|Истина — идеальный убийца..|
lore_w_bow_astral_projector|Birthed by immense pressure within the quantum realm..|Рожден под колоссальным давлением в квантовом мире..|
lore_w_bow_arrow_of_niflheim|A glyphfrosted bow crafted by the ancient vikings in Niflheim..|Покрытый рунным инеем лук, созданный древними викингами в Нифльхейме..|
lore_w_bow_eternity|Existing for an eternity.. Nobody knows who built this ancient killing machine..|Существует целую вечность.. Никто не знает, кто создал это древнее орудие смерти..|
lore_w_bow_arrow_of_zamjo|The essence of thunder imbued into this ancient bow..|В этот древний лук заключена сама суть грома..|
||
[weapon_claw]||
normal_claw_wrist_blades|Wrist Blades|
normal_claw_blade_talons|Blade Talons|
normal_claw_feral_claws|Feral Claws|
||
[weapon_claw_unique]||
w_claw_storm_fury|Storm Fury|
w_claw_molten_paw|Molten Paw|
w_claw_hemorrhage|Hemorrhage|
w_claw_yoshis_throat_cutters|Yoshi's Throat-Cutters|
w_claw_elemental_claws|Elemental Claws|
w_claw_talons_of_wisdom|Talons of Wisdom|
w_claw_earth_shapers_talons|Earth Shaper's Talons|
w_claw_spirit_walkers_guides|Spirit Walker's Guide|
w_claw_glacier_talon|Glacier Talons|
||
lore_w_claw_storm_fury|High in the ethereal peaks amidst clouds, this lightning-infused claw took form, wrought by the hands of angels and ancient shamans. Whispers speak of a potent force, a lightning totem's essence bound within, fueling legends of untamed power.|Высоко на неземных пиках среди облаков руками ангелов и древних шаманов был выкован этот заряженный молнией коготь. Слухи гласят о великой силе заключенного внутри тотема, питающего легенды о необузданной мощи.
||
[weapon_polearm]||
normal_polearm_spear|Spear|
normal_polearm_tribal_spear|Tribal Spear|
normal_polearm_royal_lance|Royal Lance|
normal_polearm_war_trident|War Trident|
normal_polearm_battle_lance|Battle Lance|
normal_polearm_hyperion_spear|Hyperion Spear|
normal_polearm_yari|Yari|
normal_polearm_fuscina|Fuscina|
normal_polearm_war_spear|War Spear|
||
[weapon_spear_unique]||
w_polearm_crusader_halberd|Crusader Halberd|
w_polearm_poseidons_might|Poseidon's Might|
w_polearm_odins_battle_spear|Odin's Battle Spear|
w_polearm_vanguards_lance|Vanguard's Lance|
w_polearm_war_gods_lance|War God's Lance|
w_polearm_jousting_lance|Jousting Lance|
w_polearm_golden_gods_gladius|Golden God's Gladius|
w_polearm_st_draxis_pigstick|St. Draxis' Pigstick|
w_polearm_lancers_glory|Lancer's Glory|
w_polearm_champions_flag_lance|Champion's Flag Lance|
w_polearm_dark_knights_lance|Dark Knight's Lance|
w_polearm_brimskull_trident|Brimskull Trident|
w_polearm_thorn_of_noxus|Thorn of Noxus|
||
lore_w_polearm_dark_knights_lance|Tales tell a story of a knight with pitch-black armor, a noble nomad who roams Tarethiel, helping people in trouble. Her lance is crafted from the finest materials and plated with gold.|Предания гласят о рыцаре в угольно-черных доспехах, благородной страннице, что скитается по Таретиэлю, помогая нуждающимся. Ее копье выковано из лучших материалов и покрыто позолотой.|
lore_w_polearm_st_draxis_pigstick|This polearm is unlike any other weapon in the world. Its name, seemingly whimsical, held a deeper meaning, symbolizing the avoidance of bloodshed even in the face of danger.|Это древковое оружие не похоже ни на одно другое в мире. Его название, на первый взгляд шутливое, таит в себе глубокий смысл, символизируя нежелание проливать кровь даже перед лицом опасности.|
lore_w_polearm_brimskull_trident|Conjured into existence from the beyond, a place darker than your worst nightmare..|Призван в этот мир из запределья — места, что чернее ваших самых жутких кошмаров..|
lore_w_polearm_thorn_of_noxus|Wielded by a god of war.. A weapon able to penetrate any armor, living or dead..|Оружие самого бога войны.. Клинок, способный пробить любой доспех, будь то плоть или сталь, живое или мертвое..|
||
[weapon_gun]||
normal_gun_hand_cannon|Hand Cannon|
